id,question,ground_truth_context,question_type
5a6cf176,Who is the main character in John Wick?,John Wick (Reeves),factual
a2212d63,What are most movies nowadays full of?,"Most movies nowadays are full of wire work, sci-fi, etc. often topped with icing made of needless or predictable background stories that add nothing.",factual
ea297774,How many previous films are mentioned in the review?,three,factual
99708c3d,Who directed John Wick?,Directed by Chad Stahelski,factual
d455cfe5,Who is the main character in the movie review?,retired assassin and 'Boogeyman' John Wick,factual
06b9b40b,What is the main motivation for John Wick's actions in the movie?,"In this original John Wick (2014), an ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.",factual
617b2dbc,What is John Wick described as in the review?,One of the most fun films of the year,factual
3873ffa2,What is the title of the movie being reviewed?,John Wick,factual
472b74e5,Who stars in John Wick?,Keanu,factual
e82397aa,Who is the lead actor in John Wick?,Keanu Reeves,factual
ff723fe5,Who is the main character in the movie?,Retired hit-man John Wick (Keanu Reeves),factual
46e32261,What are some movies that JOHN WICK is compared to in the review?,"POINT BLANK, SLEEPLESS NIGHT, MEA CULPA, THE MAN FROM NOWHERE, and THE RAID films.",factual
f58f5f7b,What word keeps coming back to mind when reviewing this movie?,exhilarating,factual
7e60d80d,Who is mentioned as one of the nicest guys to work with in Hollywood?,Keanu Reeves,factual
ac0f8495,Who is the main character in the movie 'John Wick'?,Keanu Reeve,factual
a0264617,What type of movie is being reviewed?,Mediocre action movie.,factual
c0319100,What happens to the guy's dog in the movie?,Guy's dog is murdered,factual
8f14ab07,Who wrote the script for 'John Wick'?,Derek Kolstad,factual
0a586348,Who is the main character in the movie?,John (Keanu Reeves),factual
43e8d150,What rating did the reviewer give the movie 'John Wick'?,6,factual
b8e85001,Who directed John Wick?,The film is directed by Reeve's stuntman from The Matrix.,factual
c94903d7,Who stars in John Wick?,Keanu Reeves,factual
215ea7a6,What are some common cliches mentioned in the movie review?,"1. Opening scene - alarm clock going off. 2. Coffee brewing. 3. Casket being lowered; raining for effect; long shot of cemetery showing stranger watching. 4. Afterwards, solemn wake party. 5. Mystery package at door. From? Of course. 6. Bad guys are (Guess what nationality?) $1000 if you have no idea. And, of course, are as stereotypic as cut-out doll figures. 7. Older hot cars and lots of squealing tires, burning rubber (or synthetic equivalent). You would think Reeves character would be past that 17 year old's infatuation. 8. Master killer still has an arsenal hidden away, why? Anticipated this precise series of events unfolding many years earlier. Or, nostalgia. 9. Reeves is covered in tats, of course, to show us toughness. Russian iconic tats no less - oops! 10. Dozen (cheaper that way) bad guys need some skill training because they're slow, dumb and can't seem to shoot at a target a few feet away and always walk around corners without looking first. 11. Been done before 'cleaning crew' just a call away to dispose of waste animal tissue (human of course). They always look the same in these movies.",factual
1990dc7d,What is the title of the movie being reviewed?,John Wick (2014),factual
1f03fd76,What type of movie is being described in the review?,"Predictable, juvenile revenge movie for 8 year olds.",factual
5cb3284a,Who is the star of 'John Wick: Chapter 2'?,Reeves,factual
348bf413,What is the movie packed with?,action,factual
a8273ce4,What is the tone of John Wick: Chapter 2?,violent,factual
f2ae1bce,What type of movie is 'John Wick' described as in the review?,a very monotonous 'shoot-em-all-up' actioner,factual
a47a1a8d,What is the name of the movie being reviewed?,John Wick: Chapter 2,factual
09e92a08,Why does the reviewer believe John Wick succeeds in its simplicity?,"John Wick gives the viewers what they want: Awesome action, stylish stunts, kinetic chaos, and a relatable hero to tie it all together.",reasoning
abd9711d,Why did the filmmakers choose to avoid including certain common movie tropes in this film?,It looks as if the filmmakers realized that the public was sick of certain movies.,reasoning
95ccd22b,Why did the reviewer decide to check out 'John Wick'?,I thought perhaps it would be time for me check out 'John Wick'.,reasoning
