id,question,ground_truth_context,question_type
e7ff998e,Who is the main character in John Wick?,John Wick (Reeves),factual
e8d571a5,Why does the reviewer compare John Wick to the movie Taken?,The reviewer compares John Wick to Taken because both movies involve a protagonist seeking revenge for a loved one.,reasoning
051338ee,What is the main reason why the reviewer disliked A Good Day to Die Hard?,"The reviewer disliked A Good Day to Die Hard because it was convoluted, unlike John Wick which succeeds in its simplicity.",distractor
e5f97456,"What are most movies nowadays full of, according to the review?","wire work, sci-fi, etc.",factual
e2bb15e9,Why does the review mention that certain movies are full of needless or predictable background stories?,Because the filmmakers realized that the public was sick of them.,reasoning
93abc384,Is there a troubled teenage daughter present in the movie being reviewed?,No,distractor
56dde849,How many John Wick movies were released before the fourth installment?,three,factual
c0bf9a61,Why did the reviewer decide to watch 'John Wick'?,thought it would be time to check it out,reasoning
3645fb94,What was the overall rating of the fourth installment of John Wick?,scoring immensely at the cinemas,distractor
7474c5a9,Who directed John Wick?,Chad Stahelski,factual
2f5e8725,Why are the action sequences in John Wick considered special?,Because they are well made choreographies without quick-cuts or shaky cameras,reasoning
38b29e5d,What is the main selling point of John Wick according to the review?,Real virtuoso action sequences,distractor
438ddc71,What is the main driving force behind John Wick's actions in the movie?,personal tragedy,factual
dca51fae,Why does the review mention that the movie feels like a violent music video at times?,sly direction and editing,reasoning
732f90bc,What is the reviewer's opinion on the story of the movie?,doesn't have much of a story at its disposal,distractor
f59ec441,What is the main motivation for John Wick in the movie?,To seek vengeance for the death of his dog and the theft of his car,factual
b1662f8d,Why does John Wick become a target for hit men in the movie?,Because he has a price on his head due to seeking revenge against the gangsters,reasoning
f7998402,Who is the main antagonist in the movie?,An arrogant Russian mob prince and hoodlums,distractor
04d5a157,What is the review score given to the movie John Wick?,6,factual
52f3793c,Why does the reviewer mention that John Wick is different from other action films?,"It doesn't try to be inventive or over-the-top, it just plays to its strengths.",reasoning
7ae71951,Is John Wick considered a typical action film according to the review?,It's so much different than the action films we have today.,distractor
2d5420ab,What is the title of the movie being reviewed?,John Wick,factual
bf21f35a,Why does the reviewer think John Wick is better than other action films?,The reviewer enjoyed the fast-paced action and Keanu Reeves' performance.,reasoning
c8c4e41e,How much profit did the movie John Wick make in the US according to the review?,40 million,distractor
da4d2948,What is praised about the action in John Wick?,The action is beautifully choreographed,factual
13fd2afd,Why is the setup of John Wick described as surprisingly emotional?,Because it is emotional for an action flick,reasoning
ce0a040b,What is the main criticism of John Wick according to the review?,It's hard to find anything bad to say about John Wick,distractor
ab0690e3,Who is the lead actor in John Wick?,Keanu Reeves,factual
ce3c6567,Why does the reviewer mention that John Wick seems like a direct-to-DVD slopfest on paper?,Because of the premise of a man seeking revenge for his murdered dog,reasoning
8cefab54,What genre does the reviewer compare John Wick to?,Tarantino-esque dialog mixed with the swagger of action stars from the 70s,distractor
81a2207a,Who does John Wick lose to cancer in the movie?,his wife,factual
5541b800,Why was John hesitant to try seeking revenge at first?,Because it had been awhile since he liked a Keanu movie,reasoning
f0e59352,What was the main reason the thugs broke into John's house?,They wanted his car,distractor
99e38142,What is JOHN WICK compared to in terms of similarity?,TAKEN,factual
26c2bf3b,Why is JOHN WICK described as a lean and pared-down film-making?,It's all about intensity and momentum.,reasoning
5771fd51,Which movie is mentioned as having similarities to JOHN WICK?,TAKEN,distractor
a02eb9dd,What is the overall tone of the review?,exhilarating,factual
64409b10,Why does the reviewer describe the movie as exhilarating?,The fun factor and amazing action in the film,reasoning
555a64c2,Did the reviewer find the movie boring?,I could not stop myself from having a blast!,distractor
60281ab1,Who is mentioned as one of the nicest guys to work with in Hollywood?,Keanu Reeves,factual
ef3b53f3,Why does the reviewer suggest that Hollywood should stop coming up with original ideas?,"Because when they do, films like this one are the result",reasoning
805c5e42,What is the main theme of the movie according to the review?,Cliched action,distractor
e8ad504b,Who is the main character in 'John Wick'?,Keanu Reeves,factual
15f0af90,Why is 'John Wick' described as one of the best action films of the year?,"Because it is short, to the point, and filled with non-stop excitement.",reasoning
3c058551,How long is the running time of 'John Wick'?,1 hour and 36 minutes,distractor
04f8c25f,How was the action movie described in the review?,Mediocre,factual
0a4a9984,Why might someone find this action movie disappointing?,It was described as mediocre,reasoning
0dc82ec6,Was the action movie praised in the review?,No,distractor
18b934c5,What is the main criticism of the story in the review?,There's no colour to the story,factual
6d1f3df3,Why does the reviewer mention joining the Army in the review?,If all you need to think something is cool is to see people getting beaten up or shot,reasoning
53ae049f,What is the setting where garish colours are mentioned in the review?,nightclub scenes,distractor
9ae56bd4,What is the main reason 'John Wick' became a very good film according to the review?,"It does not attempt to be anything of great cinematic value or teach groundbreaking stories on moral, loyalty, or betrayal.",factual
36e4ba07,Why does the review mention that the occasional predictability of the film does not hurt it?,The script goes for a gutsy revenge thriller that is not hurt by its occasional predictability.,reasoning
0e4bb0b2,What is one reason the review gives for 'John Wick' potentially becoming a failure?,The two directors have never made a film before and almost exclusively worked in the stunt department so far.,distractor
5413b00c,Who is the main character in the movie?,John (Keanu Reeves),factual
d53c45bb,Why does the young Russian-American punk target John Wick?,The punk wants to buy Wick's classic car but Wick declines.,reasoning
fe720fb9,What is the main conflict in the movie?,The contest between the Russian mobster and his gang against Wick on his own.,distractor
3d527965,What rating did the reviewer give to 'John Wick'?,6,factual
f2a38a8b,Why did the reviewer give 'John Wick' a slightly higher rating?,Because they thought the cinematography and fight choreography were really good.,reasoning
cbe44846,Did the reviewer mention any specific actors in 'John Wick' that they liked?,No,distractor
bbc19054,Who directed the film John Wick?,Reeve's stuntman from The Matrix,factual
50a7ee12,Why does the reviewer compare John Wick to Millers Crossing?,It reminds the reviewer of Millers Crossing and is cooler than any other recent attempt at noir.,reasoning
b5717f8f,What is John Wick's main goal in the film?,He wages a one man war against the Russian Mafia after some young kids steal his peace.,distractor
5dda5a76,What type of film is John Wick?,action film,factual
b056ba9f,Why does the reviewer mention Keanu Reeves in the review?,Because he makes it watchable despite the script.,reasoning
83b4f71c,Is John Wick praised for its intricate plot?,"No, it is described as having a somewhat barmy plotting.",distractor
c1401d22,What are some common cliches mentioned in the review?,"Alarm clock going off, coffee brewing, casket being lowered in the rain, mystery package at the door, older hot cars with squealing tires, master killer with hidden arsenal, Reeves covered in tattoos, bad guys needing skill training, 'cleaning crew' to dispose of waste tissue",factual
c4588907,Why does the reviewer mention that Reeves' character should be past the 17-year-old infatuation stage?,The reviewer implies that Reeves' character engaging in activities like driving hot cars and burning rubber seems immature for someone of his age and experience.,reasoning
0f62a1bb,What nationality are the bad guys in the movie?,"The bad guys are implied to be Russian, as Reeves is covered in Russian iconic tattoos.",distractor
9172c149,What movie is being reviewed in the snippet?,John Wick (2014),factual
f3d106f8,Why do you think the reviewer chose to review John Wick?,The reviewer likely found the movie interesting or noteworthy.,reasoning
f951b7c3,Is the review about John Wick (2017) instead of John Wick (2014)?,"No, the review is specifically about John Wick (2014).",distractor
7ad8fb1c,What is the overall tone of the movie review?,"Predictable, juvenile revenge movie for 8 year olds.",factual
ba741f2c,Why does the reviewer criticize the fight scenes in the movie?,They defy believability.,reasoning
856499ac,"According to the review, what is Keanu Reeves' performance like in the movie?",Reeves mumbles his way through 2 hours with Matrix like fight scenes.,distractor
563743fb,Who is the star of 'John Wick: Chapter 2'?,Keanu Reeves,factual
1a3f7e35,Why does the reviewer mention that John Wick never makes a wrong move when hunted by assassins?,The reviewer suggests that it may lack credibility for the protagonist to always come out on top in such situations.,reasoning
cf253bfb,Does the reviewer believe that Keanu Reeves' character in the movie faces any challenges?,"The reviewer mentions that John Wick gets shot, stabbed, and hit by cars multiple times, indicating that he faces challenges.",distractor
a769089d,What is the movie review snippet about?,It's jam packed with action,factual
e405afd2,Why does the reviewer love the movie?,It's jam packed with action,reasoning
7061d65c,Is the movie review focused on romance?,No,distractor
654f51a2,What is the title of the movie being reviewed?,John Wick: Chapter 2,factual
2eb201b4,Why does the reviewer mention that the film has more head-shots than words spoken?,Because it is a very violent film,reasoning
95df44d8,Is John Wick: Chapter 2 a quiet film with minimal violence?,"No, it is the most violent film the reviewer has seen in quite some time",distractor
cd6332e9,What movie series did the reviewer commit to watching consecutively?,John Wick,factual
265b728f,Why did the reviewer mention that 'John Wick' is not their thing?,It is a very monotonous 'shoot-em-all-up' actioner,reasoning
4e51d40e,Did the reviewer express excitement about watching the fourth installment of 'John Wick'?,No,distractor
6957b60f,What is the title of the movie being reviewed?,John Wick: Chapter 2,factual
bc3061cb,Why does John Wick get pulled back into the world of assassins?,An Italian baddie calls in a favor,reasoning
c0939324,Who is the main antagonist in the movie?,Italian baddie,distractor
1927364f,Who calls in John Wick's Marker?,Santino D'Antonio,factual
4a8c0321,Why does John Wick face deadly assassins and killers?,Because Santino D'Antonio uses him to gain power,reasoning
eb1e2232,What is the main reason John Wick goes after Iosef's uncle?,To retrieve his car,distractor
7b26f93a,What was the surprise hit movie in 2014 starring Keanu Reeves?,John Wick,factual
ad5f58ad,Why did the reviewer initially skip out on watching John Wick?,The trailers only showed an assassin story that the reviewer felt they've seen before.,reasoning
b313e966,What classic novels does the reviewer mention as examples of revenge stories?,The Count of Monte Cristo and Moby Dick,distractor
4e78e5ce,What movie is being reviewed in the snippet?,John Wick: Chapter 2,factual
99d6bdfe,Why is the review described as spoiler free?,To avoid giving away important plot details,reasoning
77ff1ee9,Is the review highly critical of John Wick: Chapter 2?,"No, it does not mention any negative aspects",distractor
3a204fda,Who delivers a notable performance as the titular character in John Wick 2?,Keanu Reeves,factual
257b8a00,Why is the focus of John Wick 2 on the personal backstab of Wick?,The revenge theme was still part of the movie's plot but this time the focus is the personal backstab of Wick.,reasoning
0c8a38b1,What is the main theme of John Wick 2 according to the review?,The revenge theme,distractor
793e680c,Who returned to work on the script/direction for 'John Wick: Chapter 2'?,Stahelski and Kolstad,factual
055edac4,Why does the reviewer mention that the first film was a great fun watch from start to finish?,"Because it offered emotion, delivered in the crime and drama genres, and had action as well.",reasoning
d2d402b4,Is 'John Wick: Chapter 2' shorter than the first film?,"No, it is considerably longer than the first film at over 2 hours.",distractor
12a2165e,What was the reviewer's opinion of the first John Wick film?,it was a cartoonish action film that was surprisingly brutal in its content,factual
f74a049e,Why does the reviewer mention that John Wick 2 doesn't have the ability to sneak up on them unannounced?,because it was not as surprising as the first film,reasoning
193f38f6,What aspect of John Wick 2 does the reviewer mention as the most disappointing?,not having the ability to sneak up on them unannounced,distractor
7b59b26a,What is the reviewer's opinion of John Wick: Chapter 2?,It is not as good as almost everyone is portraying it to be.,factual
80efd972,Why does the reviewer find the action in the movie repetitive?,"The action is very repetitive, with the reviewer getting full-fed after seeing the first two action scenes.",reasoning
1f7a66fc,Is John Wick: Chapter 2 considered a groundbreaking movie according to the review?,"No, it is not as nearly as good as almost everyone is portraying it to be.",distractor
339d7d5c,What is the movie being compared to in terms of its style?,classical orchestra,factual
c73427bf,Why is John Wick described as untamed and unapologetically brutal?,Because he dances through a hail of bullets and faces a horde of assassins straight from a video game.,reasoning
f9f53b50,What genre is John Wick: Chapter 2 described as?,noir,distractor
fafeda65,Who is Keanu Reeves reunited with in this sequel?,Laurence Fishburne,factual
3c940b30,Why was it nice to see Keanu Reeves and Laurence Fishburne as allies in the movie?,Because they were previously in The Matrix together,reasoning
9283ac7c,What was the main focus of the sequel according to the review?,Keanu Reeves and Laurence Fishburne being allies,distractor
f5e5d683,What type of movies does the reviewer love?,action movies,factual
5d2b9565,Why does the reviewer consider this action movie a disaster?,Because it is an absolute disaster of an action movie,reasoning
96dd0e09,Which action movie does the reviewer mention as being good?,Rambo,distractor
868a7c14,What does the reviewer criticize about the movie?,pointless and stupid car chases and lots of explosions,factual
149f42d5,Why does the reviewer suggest making violence more taboo in film ratings?,To address the excessive violence in action movies,reasoning
ad5366d8,What does the reviewer praise about the movie?,formula for a successful action movie,distractor
5e6aac09,Who plays the titular character in John Wick Chapter 2?,Keanu Reeves,factual
1b7ba055,Why does the reviewer mention that John Wick: Chapter 2 sets the bar high?,"In its action, set design, and camera work",reasoning
89b686e3,What type of films are known for their artistic value according to the review?,These types of films are rarely known for their artistic value,distractor
0d9101bc,Where does John Wick travel to complete an assassination assignment?,Rome,factual
3518aa8d,Why does John Wick rejoin his former profession?,To complete an assassination assignment,reasoning
ea26a077,What is John Wick's main goal in the movie?,He wants his car back,distractor
fff5205f,How does the reviewer describe the action in the movie?,"mindless and repetitive, consisting of fistfights, guns, and cars",reasoning
913ce5b0,What does the reviewer think of the plot and character development in the movie?,"There is zero plot, zero character development, zero drama",factual
e4d7f5d3,What is one reason the reviewer gives for why the movie might be rated highly?,young teens who judge movies on number of kills,distractor
97e9c7bd,Who is the main character in the movie John Wick?,Keanu Reeves,factual
672ec2cf,Why does John Wick come out of retirement in the movie?,Because someone killed his dog,reasoning
d1767677,What is the main setting of the movie John Wick?,"Italy, Canada, and Manhattan",distractor
e26ecfc4,Who asks John Wick to kill his sister Gianna D'Antonio?,Santino D'Antonio,factual
ba011f50,Why does John Wick refuse to help Santino at first?,Because he is retired,reasoning
5a143027,What is the name of the owner of the Continental hotel in New York City?,Winston,distractor
73e72895,Who are some actors known for playing one man army roles in action movies in the 80s?,Sylvester Stallone or Arnold Schwarzenegger,factual
a2ea969e,Why does the reviewer compare this movie to one man army movies from the 80s?,The reviewer mentions that the movie reminds them of the various one man army movies in the 80s played by Sylvester Stallone or Arnold Schwarzenegger.,reasoning
515c7161,What type of combat is predominantly featured in this movie?,hand to hand combat and gun shootings,distractor
